sh run_tune.sh
run_tune.sh        run_tune.sh.SAVED  
[1;33mλ [1;37mdgx-18-04 [1;32m/DeepSpeech/examples/aishell2[1;33m[0m sh run_tune.sh
grep: warning: GREP_OPTIONS is deprecated; please use an alias or script
-----------  Configuration Arguments -----------
alpha_from: 0.0
alpha_to: 10.0
batch_size: 256
beam_size: 500
beta_from: 0.0
beta_to: 10.0
cutoff_prob: 1.0
cutoff_top_n: 40
error_rate_type: cer
lang_model_path: models/lm/zhidao_giga.klm
mean_std_path: data/aishell2/mean_std.npz
model_path: checkpoints/aishell2-C2R71024/step_final
num_alphas: 20
num_batches: -1
num_betas: 20
num_conv_layers: 2
num_proc_bsearch: 12
num_rnn_layers: 7
rnn_layer_size: 1024
share_rnn_weights: 0
specgram_type: linear
trainer_count: 8
tune_manifest: data/Wang/16k/manifest.dev
use_gpu: 1
use_gru: 1
vocab_path: data/aishell2/vocab.txt
------------------------------------------------
2020-03-09 02:19:45,999-INFO: begin to initialize the external scorer for decoding
2020-03-09 02:19:48,161-INFO: language model: is_character_based = 1, max_order = 5, dict_size = 0
2020-03-09 02:19:48,162-INFO: end initializing scorer
2020-03-09 02:19:48,162-INFO: start tuning ...
W0309 02:19:58.123144   252 device_context.cc:236] Please NOTE: device: 0, CUDA Capability: 70, Driver API Version: 10.2, Runtime API Version: 10.0
W0309 02:19:58.126399   252 device_context.cc:244] device: 0, cuDNN Version: 7.5.
W0309 02:19:58.126413   252 device_context.cc:270] WARNING: device: 0. The installed Paddle is compiled with CUDNN 7.6, but CUDNN version in your machine is 7.5, which may cause serious incompatible bug. Please recompile or reinstall Paddle with compatible CUDNN version.
finish initing model from pretrained params from checkpoints/aishell2-C2R71024/step_final
........................................................................................................................................................................................................
Batch 0 [226/?], current opt (alpha, beta) = (2.105, 3.684),  min [cer] = 0.285954

Final cer:

(alpha, beta) = (3.684, 1.579), [cer] = 0.394303
(alpha, beta) = (3.684, 2.105), [cer] = 0.382854
(alpha, beta) = (3.684, 2.632), [cer] = 0.371684
(alpha, beta) = (3.684, 3.158), [cer] = 0.359676
(alpha, beta) = (3.684, 3.684), [cer] = 0.342921
(alpha, beta) = (3.684, 4.211), [cer] = 0.333147
(alpha, beta) = (3.684, 4.737), [cer] = 0.331192
(alpha, beta) = (3.684, 5.263), [cer] = 0.327004
(alpha, beta) = (3.684, 5.789), [cer] = 0.325328
(alpha, beta) = (3.684, 6.316), [cer] = 0.322256
(alpha, beta) = (3.684, 6.842), [cer] = 0.327841
(alpha, beta) = (3.684, 7.368), [cer] = 0.337336
(alpha, beta) = (3.684, 7.895), [cer] = 0.345155
(alpha, beta) = (3.684, 8.421), [cer] = 0.367216
(alpha, beta) = (3.684, 8.947), [cer] = 0.392907
(alpha, beta) = (3.684, 9.474), [cer] = 0.415806
(alpha, beta) = (3.684, 10.000), [cer] = 0.454342
(alpha, beta) = (4.211, 0.000), [cer] = 0.515498
(alpha, beta) = (4.211, 0.526), [cer] = 0.486177
(alpha, beta) = (4.211, 1.053), [cer] = 0.462161
(alpha, beta) = (4.211, 1.579), [cer] = 0.437867
(alpha, beta) = (4.211, 2.105), [cer] = 0.420274
(alpha, beta) = (4.211, 2.632), [cer] = 0.401564
(alpha, beta) = (4.211, 3.158), [cer] = 0.387601
(alpha, beta) = (4.211, 3.684), [cer] = 0.373918
(alpha, beta) = (4.211, 4.211), [cer] = 0.364423
(alpha, beta) = (4.211, 4.737), [cer] = 0.359118
(alpha, beta) = (4.211, 5.263), [cer] = 0.348506
(alpha, beta) = (4.211, 5.789), [cer] = 0.346830
(alpha, beta) = (4.211, 6.316), [cer] = 0.338732
(alpha, beta) = (4.211, 6.842), [cer] = 0.338453
(alpha, beta) = (4.211, 7.368), [cer] = 0.344876
(alpha, beta) = (4.211, 7.895), [cer] = 0.354650
(alpha, beta) = (4.211, 8.421), [cer] = 0.368612
(alpha, beta) = (4.211, 8.947), [cer] = 0.384529
(alpha, beta) = (4.211, 9.474), [cer] = 0.410221
(alpha, beta) = (4.211, 10.000), [cer] = 0.446803
(alpha, beta) = (4.737, 0.000), [cer] = 0.576934
(alpha, beta) = (4.737, 0.526), [cer] = 0.537001
(alpha, beta) = (4.737, 1.053), [cer] = 0.506562
(alpha, beta) = (4.737, 1.579), [cer] = 0.479196
(alpha, beta) = (4.737, 2.105), [cer] = 0.459369
(alpha, beta) = (4.737, 2.632), [cer] = 0.434515
(alpha, beta) = (4.737, 3.158), [cer] = 0.421111
(alpha, beta) = (4.737, 3.684), [cer] = 0.407428
(alpha, beta) = (4.737, 4.211), [cer] = 0.391790
(alpha, beta) = (4.737, 4.737), [cer] = 0.382295
(alpha, beta) = (4.737, 5.263), [cer] = 0.378386
(alpha, beta) = (4.737, 5.789), [cer] = 0.371963
(alpha, beta) = (4.737, 6.316), [cer] = 0.363865
(alpha, beta) = (4.737, 6.842), [cer] = 0.364423
(alpha, beta) = (4.737, 7.368), [cer] = 0.358559
(alpha, beta) = (4.737, 7.895), [cer] = 0.364982
(alpha, beta) = (4.737, 8.421), [cer] = 0.371684
(alpha, beta) = (4.737, 8.947), [cer] = 0.388160
(alpha, beta) = (4.737, 9.474), [cer] = 0.410500
(alpha, beta) = (4.737, 10.000), [cer] = 0.447361
(alpha, beta) = (5.263, 0.000), [cer] = 0.611840
(alpha, beta) = (5.263, 0.526), [cer] = 0.585591
(alpha, beta) = (5.263, 1.053), [cer] = 0.559620
(alpha, beta) = (5.263, 1.579), [cer] = 0.525272
(alpha, beta) = (5.263, 2.105), [cer] = 0.497347
(alpha, beta) = (5.263, 2.632), [cer] = 0.479475
(alpha, beta) = (5.263, 3.158), [cer] = 0.454622
(alpha, beta) = (5.263, 3.684), [cer] = 0.438984
(alpha, beta) = (5.263, 4.211), [cer] = 0.429210
(alpha, beta) = (5.263, 4.737), [cer] = 0.416364
(alpha, beta) = (5.263, 5.263), [cer] = 0.401005
(alpha, beta) = (5.263, 5.789), [cer] = 0.397934
(alpha, beta) = (5.263, 6.316), [cer] = 0.389277
(alpha, beta) = (5.263, 6.842), [cer] = 0.385088
(alpha, beta) = (5.263, 7.368), [cer] = 0.385367
(alpha, beta) = (5.263, 7.895), [cer] = 0.385646
(alpha, beta) = (5.263, 8.421), [cer] = 0.388439
(alpha, beta) = (5.263, 8.947), [cer] = 0.398492
(alpha, beta) = (5.263, 9.474), [cer] = 0.412734
(alpha, beta) = (5.263, 10.000), [cer] = 0.437867
(alpha, beta) = (5.789, 0.000), [cer] = 0.666015
(alpha, beta) = (5.789, 0.526), [cer] = 0.622173
(alpha, beta) = (5.789, 1.053), [cer] = 0.598715
(alpha, beta) = (5.789, 1.579), [cer] = 0.575538
(alpha, beta) = (5.789, 2.105), [cer] = 0.545378
(alpha, beta) = (5.789, 2.632), [cer] = 0.514661
(alpha, beta) = (5.789, 3.158), [cer] = 0.490924
(alpha, beta) = (5.789, 3.684), [cer] = 0.478079
(alpha, beta) = (5.789, 4.211), [cer] = 0.453784
(alpha, beta) = (5.789, 4.737), [cer] = 0.442893
(alpha, beta) = (5.789, 5.263), [cer] = 0.431723
(alpha, beta) = (5.789, 5.789), [cer] = 0.419715
(alpha, beta) = (5.789, 6.316), [cer] = 0.410221
(alpha, beta) = (5.789, 6.842), [cer] = 0.404636
(alpha, beta) = (5.789, 7.368), [cer] = 0.399888
(alpha, beta) = (5.789, 7.895), [cer] = 0.401843
(alpha, beta) = (5.789, 8.421), [cer] = 0.404077
(alpha, beta) = (5.789, 8.947), [cer] = 0.408545
(alpha, beta) = (5.789, 9.474), [cer] = 0.415247
(alpha, beta) = (5.789, 10.000), [cer] = 0.428093
(alpha, beta) = (6.316, 0.000), [cer] = 0.703993
(alpha, beta) = (6.316, 0.526), [cer] = 0.678581
(alpha, beta) = (6.316, 1.053), [cer] = 0.637252
(alpha, beta) = (6.316, 1.579), [cer] = 0.610723
(alpha, beta) = (6.316, 2.105), [cer] = 0.585870
(alpha, beta) = (6.316, 2.632), [cer] = 0.557945
(alpha, beta) = (6.316, 3.158), [cer] = 0.534767
(alpha, beta) = (6.316, 3.684), [cer] = 0.512427
(alpha, beta) = (6.316, 4.211), [cer] = 0.489807
(alpha, beta) = (6.316, 4.737), [cer] = 0.473611
(alpha, beta) = (6.316, 5.263), [cer] = 0.454063
(alpha, beta) = (6.316, 5.789), [cer] = 0.443172
(alpha, beta) = (6.316, 6.316), [cer] = 0.436191
(alpha, beta) = (6.316, 6.842), [cer] = 0.428930
(alpha, beta) = (6.316, 7.368), [cer] = 0.423066
(alpha, beta) = (6.316, 7.895), [cer] = 0.417202
(alpha, beta) = (6.316, 8.421), [cer] = 0.416364
(alpha, beta) = (6.316, 8.947), [cer] = 0.421391
(alpha, beta) = (6.316, 9.474), [cer] = 0.431723
(alpha, beta) = (6.316, 10.000), [cer] = 0.437029
(alpha, beta) = (6.842, 0.000), [cer] = 0.755376
(alpha, beta) = (6.842, 0.526), [cer] = 0.721028
(alpha, beta) = (6.842, 1.053), [cer] = 0.689751
(alpha, beta) = (6.842, 1.579), [cer] = 0.652890
(alpha, beta) = (6.842, 2.105), [cer] = 0.619659
(alpha, beta) = (6.842, 2.632), [cer] = 0.595364
